[eggs] Updated: GRADE A CAGE FREE LARGE WHITE EGGS | BrandOwner: Target Stores
[eggs] Updated: DOUBLE DARK CHOCOLATE COVERED EGGS, DOUBLE DARK CHOCOLATE | BrandOwner: S Zitner Co.
[eggs] Updated: CANDY FILLED EGGS | BrandOwner: Ross Acquisition Inc.
[eggs] Updated: FARM FRIENDS MILK CHOCOLATE EGGS | BrandOwner: Lindt & Sprungli (Schweiz) AG
[eggs] Updated: LINDT LINDOR MILK CHOCOLATE TRUFFLE EGGS, 23.7 OZ | BrandOwner: Lindt & Sprungli (Schweiz) AG
[eggs] Updated: ORGANIC CAGE FREE GRADE A EXTRA LARGE BROWN EGGS | BrandOwner: Meijer, Inc.
[eggs] Updated: ORGANIC PASTURE RAISED LARGE BROWN EGGS | BrandOwner: Meijer, Inc.
[eggs] Updated: GRADE AA CAGE FREE LARGE EGGS | BrandOwner: Safeway, Inc.
[eggs] Updated: CANDY-COATED CHOCOLATY EGGS, CANDY-COATED CHOCOLATY | BrandOwner: Target Stores
[eggs] Updated: HARD-BOILED EGGS | BrandOwner: Prime Foods, Inc.
[eggs] Updated: Precooked Scrambled Eggs, Medium Curd, 4/5 lb. Frozen, Bag | BrandOwner: Cargill Poultry Products Div
[eggs] Updated: CLASSIC JELLY BIRD EGGS, CLASSIC | BrandOwner: Ferrara Candy Company
[eggs] Updated: MARSHMALLOW EASTER HUNT EGGS, MARSHMALLOW | BrandOwner: Ferrara Candy Company
[eggs] Updated: CLASSIC JELLY BIRD EGGS, CLASSIC | BrandOwner: Ferrara Candy Company
[eggs] Updated: SPECKLED JELLY BIRD EGGS, SPECKLED | BrandOwner: Ferrara Candy Company
[eggs] Updated: CLASSIC JELLY BIRD EGGS, CLASSIC | BrandOwner: Ferrara Candy Company
[eggs] Updated: SPECKLED JELLY BIRD EGGS, SPECKLED | BrandOwner: Ferrara Candy Company
[eggs] Updated: MARSHMALLOW EASTER HUNT EGGS, MARSHMALLOW | BrandOwner: Ferrara Candy Company
[eggs] Updated: FRUIT FUSIONS APPLE, ORANGE, GRAPE, CHERRY, RASPBERRY TINY JELLY BIRD EGGS, FRUIT FUSIONS | BrandOwner: Ferrara Candy Company
[eggs] Updated: MILK CHOCOLATE & PEANUT BUTTER CREME EGGS, MILK CHOCOLATE & PEANUT BUTTER CREME | BrandOwner: The Hershey Company
[eggs] Updated: MILK CHOCOLATE PEANUT BUTTER EGGS, MILK CHOCOLATE PEANUT BUTTER | BrandOwner: Mars Chocolate North America LLC
[eggs] Updated: CAGE FREE HARD-COOKED PEELED MEDIUM EGGS | BrandOwner: Wakefern Food Corporation
[eggs] Updated: MILK CHOCOLATE COVERED MARSHMALLOW EGGS, MILK CHOCOLATE COVERED MARSHMALLOW | BrandOwner: The Hershey Company
[eggs] Updated: PURPLE RAIN BERRY, BLUEBERRY, BLUE RASPBERRY, GRAPE TINY JELLY BIRD EGGS, PURPLE RAIN | BrandOwner: Ferrara Candy Company
[eggs] Updated: MALTED MILK EGGS PASTEL FIESTA CANDY, MALTED MILK EGGS PASTEL FIESTA | BrandOwner: Ferrara Candy Company
[eggs] Updated: LINDT LINDOR DARK CHOCOLATE TRUFFLE EGGS, 4.4 OZ | BrandOwner: Lindt & Sprungli (Schweiz) AG
[eggs] Updated: SMOOTH & CREAMY MINI EGGS | BrandOwner: Ferrero U.S.A., Incorporated
[eggs] Updated: WHITE PEANUT BUTTER EGGS | BrandOwner: The Hershey Company
[eggs] Updated: CANDY COATED MILK CHOCOLATE EGGS, CANDY COATED MILK CHOCOLATE | BrandOwner: The Hershey Company
[eggs] Updated: PEANUT BUTTER CHOCOLATE CANDIES EGGS, PEANUT BUTTER | BrandOwner: Mars Chocolate North America LLC
[eggs] Updated: DARK CHOCOLATE COATED COCONUT CREAM EGGS, DARK CHOCOLATE COATED COCONUT CREAM | BrandOwner: Chester A. Asher, Inc.
[eggs] Updated: CLASSIC JELLY BIRD EGGS, CLASSIC | BrandOwner: Ferrara Candy Company
[eggs] Updated: BLACK JELLY BIRD EGGS CANDY, BLACK | BrandOwner: Ferrara Candy Company
[eggs] Updated: MALTED MILK EGGS | BrandOwner: Ferrara Candy Company
[eggs] Updated: MALT CHOCOLATE CANDIES MINI EGGS, MALT | BrandOwner: Mars Chocolate North America LLC
[eggs] Updated: HARD-COOKED PEELED MEDIUM EGGS | BrandOwner: Associated Wholesale Grocers, Inc.
[eggs] Updated: PEANUT BUTTER MILK CHOCOLATE COVERED EGGS, PEANUT BUTTER | BrandOwner: S Zitner Co.
[eggs] Updated: SPRINGTIME EGGS GUMMI CANDY, SPRINGTIME EGGS | BrandOwner: Meijer, Inc.
[eggs] Updated: MALTED MILK EGGS WHITE FIESTA CANDY, MALTED MILK EGGS WHITE FIESTA | BrandOwner: Ferrara Candy Company
[eggs] Updated: MINI SPECKLED EGGS CANDY, MINI SPECKLED EGGS | BrandOwner: Publix Super Markets, Inc.
[eggs] Updated: MILK CHOCOLATE & PEANUT BUTTER EGGS, MILK CHOCOLATE & PEANUT BUTTER | BrandOwner: The Hershey Company
[eggs] Updated: PEANUT BUTTER CHOCOLATE CANDIES EGGS, PEANUT BUTTER | BrandOwner: Mars Chocolate North America LLC
[eggs] Updated: CLASSIC JELLY BIRD EGGS CANDY, CLASSIC | BrandOwner: Ferrara Candy Company
[eggs] Updated: MILK CHOCOLATE CANDIES EGGS, MILK CHOCOLATE | BrandOwner: Mars Chocolate North America LLC
[eggs] Updated: Vital Farms Pasture-Raised Eggs | BrandOwner: Vital Farms
[eggs] Updated: Nellie's Free Range Eggs | BrandOwner: Nellie's Free
[eggs] Updated: MALTED MILK EGGS, MALTED MILK | BrandOwner: Ferrara Candy Company
[eggs] Updated: PEANUT BUTTER CHOCOLATE CANDIES EGGS, PEANUT BUTTER | BrandOwner: Mars Chocolate North America LLC
[eggs] Updated: EGGS, CHORIZO SAUSAGE & 3 CHEESES OVEN-BAKED EGG BITES, EGGS; CHORIZO SAUSAGE; 3 CHEESES | BrandOwner: Hormel Foods Corporation 
[eggs] Updated: COCOANUT CREAM DARK CHOCOLATE COVERED EGGS, COCOANUT CREAM | BrandOwner: S Zitner Co.
[eggs] Updated: CARAMEL ROBIN EGGS, CARAMEL ROBIN | BrandOwner: Cape Cod Provisions, LLC.
[eggs] Updated: PEANUT BUTTER CHOCOLATE CANDIES EGGS, PEANUT BUTTER | BrandOwner: Mars Chocolate North America LLC
[eggs] Updated: EGGS, BACON & 3 CHEESES OVEN-BAKED EGG BITES, EGGS; BACON; 3 CHEESES | BrandOwner: Hormel Foods Corporation 
[eggs] Updated: ASSORTED CHOCOLATE TRUFFLE EGGS | BrandOwner: Lindt & Sprungli (Schweiz) AG
[eggs] Updated: EGGS, SAUSAGE, BACON & 3 CHEESES OVEN-BAKED EGG BITES, EGGS; SAUSAGE; BACON; 3 CHEESES | BrandOwner: Hormel Foods Corporation 
[eggs] Updated: QUICK EGGS | BrandOwner: Weis Markets, Inc.
[eggs] Updated: SAUSAGE REAL EGGS, SAUSAGE & CHEDDAR CHEESE SIMPLE SCRAMBLES, SAUSAGE | BrandOwner: The Hillshire Brands Company
[eggs] Updated: MILK CHOCOLATE & PEANUT BUTTER CREME EGGS, MILK CHOCOLATE & PEANUT BUTTER CREME | BrandOwner: The Hershey Company
[eggs] Updated: PEANUT BUTTER MELTAWAY MINI EGGS CANDY, PEANUT BUTTER | BrandOwner: Rosalind Candy Castle
[eggs] Updated: MILK CHOCOLATE CANDY COATED MINI EGGS, MILK CHOCOLATE | BrandOwner: Jo-Lee Food Products, Inc.
[eggs] Updated: SPECKLED MINI MALT EGGS CANDY, SPECKLED MINI MALT EGGS | BrandOwner: Walgreens Co.
[eggs] Updated: MILK CHOCOLATE EGGS, MILK CHOCOLATE | BrandOwner: See's Candies, Inc.
[eggs] Updated: DARK CHOCOLATE GOLD BRICK EGGS, DARK CHOCOLATE GOLD BRICK | BrandOwner: Elmer Candy Corporation
[eggs] Updated: BUBBLE GUM EGGS, BUBBLE | BrandOwner: R L Albert & Son Inc
[eggs] Updated: JELLY BEAN & STICKER FILLED EGGS CANDY | BrandOwner: Ross Acquisition Inc.
[eggs] Updated: JELLY BEAN & STICKER FILLED EGGS, JELLY BEAN | BrandOwner: Ross Acquisition Inc.
[eggs] Updated: SPRING ALMOND EGGS, SPRING ALMOND | BrandOwner: Marich Confectionery Company
[eggs] Updated: ORGANIC GRADE A LARGE BROWN EGGS | BrandOwner: United Natural Foods, Inc.
[eggs] Updated: DARK CHOCOLATE EGGS, DARK CHOCOLATE | BrandOwner: Mars Chocolate North America LLC
[eggs] Updated: EASTER EGGS CHOCOLATES | BrandOwner: Mars Chocolate North America LLC
[eggs] Updated: SPECKLED JELLY EGGS CANDY, SPECKLED JELLY EGGS | BrandOwner: Ahold USA, Inc. 
[eggs] Updated: ALL REDS JELLY BIRD EGGS CANDY | BrandOwner: 
[eggs] Updated: CAGE FREE HARD-COOKED EGGS | BrandOwner: Country Creek Farms, LLC
[eggs] Updated: SPECKLED JELLY EGGS, SPECKLED | BrandOwner: Tropical Nut & Fruit Co.
[eggs] Updated: MILK CHOCOLATE COVERED MARSHMALLOW EGGS, MILK CHOCOLATE COVERED MARSHMALLOW | BrandOwner: The Hershey Company
[eggs] Updated: MILK CHOCOLATE COCONUT CREME EGGS, MILK CHOCOLATE COCONUT CREME | BrandOwner: Mars Chocolate North America LLC
[eggs] Updated: MILK CHOCOLATE EGGS, MILK CHOCOLATE | BrandOwner: Mars Chocolate North America LLC
[eggs] Updated: DARK CHOCOLATE EGGS, DARK CHOCOLATE | BrandOwner: Mars Chocolate North America LLC
[eggs] Updated: MILK CHOCOLATE EGGS, MILK CHOCOLATE | BrandOwner: Mars Chocolate North America LLC
[eggs] Updated: DARK CHOCOLATE EGGS, DARK CHOCOLATE | BrandOwner: Mars Chocolate North America LLC
[eggs] Updated: PEANUT BUTTER EGGS MILK CHOCOLATE, PEANUT BUTTER | BrandOwner: SweetWorks Confections, LLC
[eggs] Updated: CARAMEL EGGS MILK CHOCOLATE, CARAMEL | BrandOwner: SweetWorks Confections, LLC
[eggs] Updated: MILK CHOCOLATE EGGS, MILK CHOCOLATE | BrandOwner: The Hershey Company
[eggs] Updated: MILK CHOCOLATE EGGS, MILK CHOCOLATE | BrandOwner: The Hershey Company
[eggs] Updated: ORGANIC FREE RANGE HARD COOKED EGGS | BrandOwner: Giant Eagle, Inc.
[eggs] Updated: PASTURE-RAISED HARD BOILED EGGS | BrandOwner: Vital Farms Inc.
[eggs] Updated: GRADE A CAGE FREE LARGE BROWN EGGS | BrandOwner: Star Markets Co.
[eggs] Updated: BROWN ORGANIC GRADE A CAGE FREE LARGE EGGS | BrandOwner: Star Markets Co.
[eggs] Updated: CHOCOLATE QUAIL EGGS, CHOCOLATE | BrandOwner: Dry Branch
[eggs] Updated: MILK CHOCOLATE EGGS, MILK CHOCOLATE | BrandOwner: The Hershey Company
[eggs] Updated: EXTRA CREAMY MILK CHOCOLATE EGGS, EXTRA CREAMY MILK CHOCOLATE | BrandOwner: The Hershey Company
[eggs] Updated: MILK CHOCOLATE FILLED EGGS CANDIES, MILK CHOCOLATE | BrandOwner: Mars Chocolate North America LLC
[eggs] Updated: MILK CHOCOLATE PEANUT BUTTER EGGS, MILK CHOCOLATE PEANUT BUTTER | BrandOwner: Mars Chocolate North America LLC
[eggs] Updated: SEA SALT CARAMEL EGGS DARK CHOCOLATE, SEA SALT; CARAMEL | BrandOwner: Ghirardelli Chocolate Company
[eggs] Updated: 2 HARD-COOKED RED BEET EGGS PERFECT PEELED | BrandOwner: R. W. Sauder, Inc.
[eggs] Updated: BACON REAL EGGS, CHEDDAR CHEESE & BACON SIMPLE SCRAMBLES, BACON | BrandOwner: The Hillshire Brands Company
[eggs] Updated: ORGANIC GRADE A FREE RANGE LARGE EGGS | BrandOwner: Pete and Gerry's Organics
[eggs] Updated: GRADE A FREE RANGE LARGE EGGS | BrandOwner: Pete and Gerry's Organics
[eggs] Updated: COCOANUT CREAM DARK CHOCOLATE COVERED EGGS, COCOANUT CREAM | BrandOwner: S Zitner Co.
[eggs] Updated: WHOLE PEELED EGGS | BrandOwner: Ise America, Inc.
[eggs] Updated: EXTRA CREAMY SOLID MILK CHOCOLATE EGGS, EXTRA CREAMY SOLID MILK CHOCOLATE | BrandOwner: The Hershey Company
[eggs] Updated: CANDY COATED MILK CHOCOLATE EGGS, CANDY COATED MILK CHOCOLATE | BrandOwner: The Hershey Company
[eggs] Updated: GRADE AA CAGE FREE LARGE WHITE EGGS | BrandOwner: H E Butt Grocery Company
[eggs] Updated: CANDY FILLED EGGS, CANDY FILLED | BrandOwner: Ross Acquisition Inc.
[eggs] Updated: SOUR JELLY BIRD EGGS CANDY, SOUR JELLY BIRD EGGS | BrandOwner: Associated Wholesale Grocers, Inc.
[eggs] Updated: MILK CHOCOLATE SOLID EGGS | BrandOwner: Divine Chocolate, Inc.
[eggs] Updated: CAGE-FREE PEELED HARD COOKED EGGS | BrandOwner: Milton G. Waldbaum Company
[eggs] Updated: WHITE CHOCOLATE EGGS, WHITE CHOCOLATE | BrandOwner: Mars Chocolate North America LLC
[eggs] Updated: EGGS | BrandOwner: Mars Chocolate North America LLC
[eggs] Updated: GRADE A PASTURE RAISED LARGE BROWN EGGS | BrandOwner: United Natural Foods, Inc.
[eggs] Updated: GRADE A CAGE FREE EXTRA LARGE BROWN EGGS | BrandOwner: H E Butt Grocery Company
[eggs] Updated: LARGE GRADE A EGGS | BrandOwner: Publix Super Markets, Inc.
[eggs] Updated: CAGE FREE HARD COOKED MEDIUM EGGS | BrandOwner: Giant Eagle, Inc.
[eggs] Updated: BLACK JELLY BIRD EGGS CANDY, BLACK | BrandOwner: Ferrara Candy Company
[eggs] Updated: BLACK JELLY BIRD EGGS CANDY, BLACK | BrandOwner: Ferrara Candy Company
[eggs] Updated: BLACK JELLY BIRD EGGS CANDY, BLACK | BrandOwner: Ferrara Candy Company
[eggs] Updated: ASSORTED EGGS MINI SOFT & CHEWY CANDY, ASSORTED | BrandOwner: Mondelez International, Inc.
[eggs] Updated: FRESH GRADE A LARGE EGGS | BrandOwner: Target Stores
[eggs] Updated: FRESH GRADE A LARGE EGGS | BrandOwner: Target Stores
[eggs] Updated: TROPICAL EGGS GUMMI | BrandOwner: McCoy Tool Co.
[eggs] Updated: HAM & CHEDDAR REAL EGGS, HAM & CHEDDAR CHEESE SIMPLE SCRAMBLES, HAM & CHEDDAR | BrandOwner: The Hillshire Brands Company
[eggs] Updated: BLACK JELLY BIRD EGGS CANDY, BLACK | BrandOwner: Ferrara Candy Company
[eggs] Updated: ALL REDS JELLY BIRD EGGS CANDY, CHERRY, STRAWBERRY, RASPBERRY, WATERMELON | BrandOwner: Ferrara Candy Company
[eggs] Updated: RAINBOW SPARKLE JELLY BIRD EGGS CANDY, CHERRY, ORANGE, LEMON, LIME, BLUE RASPBERRY, GRAPE | BrandOwner: Ferrara Candy Company
[eggs] Updated: RAINBOW SPARKLE JELLY BIRD EGGS CANDY, CHERRY, ORANGE, LEMON, LIME, BLUE RASPBERRY, GRAPE | BrandOwner: Ferrara Candy Company
[eggs] Updated: MILK CHOCOLATE & PEANUT BUTTER CREME EGGS, MILK CHOCOLATE & PEANUT BUTTER | BrandOwner: 
[eggs] Updated: GRADE A EGGS | BrandOwner: McIlhenny Company
[eggs] Updated: MILK CHOCOLATE EGGS, MILK CHOCOLATE | BrandOwner: The Hershey Company
[eggs] Updated: MILK CHOCOLATE EGGS, MILK CHOCOLATE | BrandOwner: The Hershey Company
[eggs] Updated: SPECIAL DARK MILDLY SWEET CHOCOLATE EGGS, SPECIAL DARK | BrandOwner: The Hershey Company
[eggs] Updated: GRADE AA CAGE FREE EXTRA LARGE WHITE EGGS | BrandOwner: H E Butt Grocery Company
[eggs] Updated: GRADE AA CAGE FREE LARGE WHITE EGGS | BrandOwner: H E Butt Grocery Company
[eggs] Updated: CAGE FREE JUMBO BROWN EGGS | BrandOwner: H E Butt Grocery Company
[eggs] Updated: GRADE A CAGE FREE LARGE BROWN EGGS | BrandOwner: H E Butt Grocery Company
[eggs] Updated: OMEGA PLUS GRADE AA CAGE FREE LARGE BROWN EGGS | BrandOwner: H E Butt Grocery Company
[eggs] Updated: GRADE AA CAGE FREE LARGE WHITE EGGS | BrandOwner: H E Butt Grocery Company
[eggs] Updated: GRADE AA CAGE FREE EXTRA LARGE WHITE EGGS | BrandOwner: H E Butt Grocery Company
[eggs] Updated: GRADE AA CAGE FREE LARGE BROWN EGGS | BrandOwner: H E Butt Grocery Company
[eggs] Updated: CAGE-FREE HARD-COOKED MEDIUM EGGS | BrandOwner: Target Stores
[eggs] Updated: GRADE A PASTURE RAISED LARGE BROWN EGGS | BrandOwner: United Natural Foods, Inc.
[eggs] Updated: MILK CHOCOLATE EGGS, MILK CHOCOLATE | BrandOwner: Target Stores
[eggs] Updated: MILK CHOCOLATE EGGS, MILK CHOCOLATE | BrandOwner: The Hershey Company
[eggs] Updated: BLACK JELLY BIRD EGGS CANDY, BLACK | BrandOwner: Ferrara Candy Company
[eggs] Updated: BLACK JELLY BIRD EGGS CANDY, BLACK | BrandOwner: Ferrara Candy Company

[eggs] Total products updated: 186, skipped: 563

Summary: Updated 186 products, skipped 563. See fix_product_mappings_skipped.log for details.
