description,canonicalTag
"Pure (14- to 16-oz) block of firm tofu","tofu"
"Pure (12 ounce) package silken soft tofu, drained","tofu"
"Pure ounces firm tofu (half of one 14-ounce package), drained, cut into 1/2-inch pieces","tofu"
"Pure cup diced silken tofu","tofu"
"Pure (10.5 ounce) package firm silken tofu","tofu"
"Pure (12 ounce) package silken firm tofu","tofu"
"Pure (14 ounce) package firm tofu, drained and cut into 1-inch cubes","tofu"
"Pure (12 ounce) packages extra-firm tofu, drained and diced","tofu"
"Pure (16 ounce) package garden herb tofu, crumbled","tofu"
"Pure (16 ounce) packages extra firm tofu","tofu"
"Pure (12 ounce) package extra firm tofu, diced","tofu"
"Pure 14 ounce package extra-firm tofu, drained, cut into 8 pieces","tofu"
"Pure ounces silken tofu","tofu"
"Pure cup extra-firm tofu cubes","tofu"
"Pure tablespoons vegan cream cheese substitute (such as tofutti ®)","tofu"
"Pure cup full-fat coconut milk","coconut milk"
"Pure (14 ounce) can reduced-fat coconut milk","coconut milk"
"Pure cup canned unsweetened coconut milk (available at asian markets, specialty foods shops, and some supermarkets)","coconut milk"
"SALTED BUTTER","butter"
"UNSALTED BUTTER","butter"
"Pure (12 ounce) package soft tofu, drained and cut into 1/2-inch cubes","tofu"
"Pure pound extra-firm tofu, drained well","tofu"
"TOMATO SAUCE","pizza sauce"
"Pure 13-to 14-ounce cans unsweetened coconut milk* (preferably organic)","coconut milk"
"Pure cup reduced coconut milk (see above), room temperature","coconut milk"
"Pure (15 ounce) cans full-fat coconut milk, chilled","coconut milk"
"Pure (12 ounce) package tofu, sliced into 1/2-inch pieces","tofu"
"Pure (8 ounce) container firm tofu, cut into 1/4 inch strips","tofu"
"Pure (12.3-ounce) package firm silken tofu","tofu"
"Pure ounces vegan sour cream (such as tofutti®)","tofu"
"Pure (14 ounce) cans coconut milk, divided","coconut milk"
"Pure 1/2 ounces low-fat, firm silken tofu, crumbled","tofu"
"Pure (12 ounce) package firm tofu - drained, pat dry, and diced","tofu"
"Pure 1/2 cups unsweetened vanilla almond milk (refrigerated, not shelf stable)","almond milk"
"Pure tablespoons unsweetened vanilla almond milk","almond milk"
"ALMOND FLOUR TORTILLAS","almond flour"
"Pure (14- to 16-oz) block firm tofu, rinsed, patted dry, and cut into 1/2-inch cubes","tofu"
"Pure (16 ounce) package tofu, drained and cut into cubes","tofu"
"Pure (12 ounce) package medium-firm tofu, cubed and patted dry","tofu"
"Pure cups pressed and cubed extra-firm tofu","tofu"
"Pure (14 ounce) packages firm tofu, drained and cut into 1/4-inch slices","tofu"
"Pure (8 ounce) packages tempeh","tempeh"
"RED LENTILS, RED","lentils"
"Pure 1/2 cups extra firm tofu","tofu"
"BROWN LENTILS","lentils"
"SELF-RISING FLOUR","flour"
"Pure pound fried tofu, cut into bite-size pieces","tofu"
"OLIVE OIL","olive oil"
"Pure 1/4 cups canned unsweetened coconut milk","coconut milk"
"VEGETABLE OIL","oil"
"Pure cup canned unsweetened regular or light coconut milk","coconut milk"
"Pure (14-ounce) block extra-firm tofu, cut crosswise into 4 thick slices","tofu"
"MARINARA SAUCE","pizza sauce"
"MARINARA SAUCE","pizza sauce"
"MARINARA SAUCE","pizza sauce"
"FINE SEA SALT","salt"
"EXTRA VIRGIN  OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"Pure (16 ounce) package extra firm tofu, diced","tofu"
"Pure to 2 cups rice flour","rice flour"
"SILKEN ORGANIC TOFU","tofu"
"SILKEN FIRM TOFU","tofu"
"PAMELA'S ALMOND FLOUR, 14 OZ","almond flour"
"Generic placeholder for pure cans coconut milk","coconut milk"
"Generic placeholder for pure canned coconut milk","coconut milk"
"COCONUT MILK","coconut milk"
"VEGETABLE OIL","oil"
"WHOLE WHEAT FLOUR","flour"
"Pure 1/4 teaspoons yeast","yeast"
"Pure 1/2 cups rice flour,* divided","rice flour"
"Pure (7.5 ounce) package smoked tofu, diced","tofu"
"Pure cup king arthur coconut flour, sifted after measuring","coconut flour"
"Pure tablespoon sweet rice flour","rice flour"
"Pure cups sweet rice flour","rice flour"
"Pure cup gluten-free all-purpose flour (with rice flour)","rice flour"
"Pure cup canned light coconut milk","coconut milk"
"WHOLE MILK","milk"
"Pure (12 ounce) package silken tofu, diced","tofu"
"Blue Diamond Almond Breeze Unsweetened Almond Milk","almond milk"
"Silk Unsweetened Almond Milk","almond milk"
"Califia Farms Unsweetened Almond Milk","almond milk"
"Pure salt","salt"
"Pure sugar","sugar"
"Pure flour","flour"
"Pure milk","milk"
"Pure butter","butter"
"Pure 1/4-pound piece firm tofu, rinsed, patted dry, and hard edges trimmed","tofu"
"Pure cup vegetable oil plus about 2 1/2 cups for frying tofu","tofu"
"Pure cup well-stirred canned coconut milk","coconut milk"
"Pure 1 /2 cups (about) canned unsweetened coconut milk*","coconut milk"
"Pure unsweetened coconut milk is sold at indian, southeast asian and latin american markets and at many supermarkets.","coconut milk"
"FRENCH VANILLA ORGANIC COCONUT MILK CREAMER, FRENCH VANILLA","coconut milk"
"Pure 12-ounce container extra-firm tofu, cut into 1-inch cubes","tofu"
"Pure (16 ounce) package firm tofu, cut into 6 slices","tofu"
"Pure (14 ounce) package extra firm tofu, sliced","tofu"
"Pure cup soft silken tofu","tofu"
"Pure cup vegan cream cheese substitute (such as tofutti™)","tofu"
"Pure (16 ounce) package soft tofu, frozen until firm","tofu"
"Pure ounces (195 g) extra-firm tofu, drained and pressed","tofu"
"ENRICHED RICE FLOUR","rice flour"
"Pure cup well-stirred unsweetened canned coconut milk (not low-fat)","coconut milk"
"Pure pound silken tofu, drained, cut into 1-inch pieces","tofu"
"PREMIUM EXTRA FIRM TOFU","tofu"
"PREMIUM MEDIUM FIRM TOFU","tofu"
"Pure (13 1/2- to 14-oz) can unsweetened coconut milk, well stirred","coconut milk"
"Pure cup canned coconut milk","coconut milk"
"Pure (8 ounce) containers firm tofu, drained and cut into 1/2 inch strips","tofu"
"Pure (16 ounce) package extra-firm tofu, drained and pressed","tofu"
"LIGHT UNSWEETENED ORGANIC COCONUT MILK","coconut milk"
"UNSWEETENED ORGANIC COCONUT MILK","coconut milk"
"Pure ounces firm or extra-firm tofu, sliced, blotted dry, and cut into small dice","tofu"
"Pure 1/2 ounces extra-firm tofu, drained, cut into 3/4-inch pieces","tofu"
"Pure (14 ounce) package extra-firm tofu, cubed","tofu"
"Pure (12 ounce) package extra-firm tofu, drained","tofu"
"Pure (10.5 ounce) package silken tofu, drained","tofu"
"Pure (14 ounce) package firm tofu, drained and cut into 1/2 inch strips","tofu"
"Pure (16 ounce) package extra-firm tofu, cut into bite-sized cubes","tofu"
"ALMOND FLOUR","almond flour"
"Pure ounces soy tempeh or 3-grain tempeh, cut into 1/2-inch pieces","tempeh"
"Pure ounces firm or extra-firm tofu, drained well, cut into 1/2-inch pieces","tofu"
"ALMOND MILK CHOCOLATE PROMISES, ALMOND MILK CHOCOLATE","almond milk"
"CHOCOLATE PREMIUM PLANT-BASED ALMOND MILK, CHOCOLATE","almond milk"
"WHOLE MILK","milk"
"SALT","salt"
"Pure 12-ounce package extra-firm tofu, cut into 1/2-inch pieces, drained well on paper towels","tofu"
"Pure (14 ounce) package baked firm tofu, cut into 1-inch cubes","tofu"
"Pure cup unsweetened almond-coconut milk blend","coconut milk"
"Pure cup plus 1 tablespoon almond flour (found at health food stores)","almond flour"
"GRANULATED SUGAR","sugar"
"Pure 14-ounce package firm tofu","tofu"
"Pure cup fine-grind almond flour","almond flour"
"Pure cup glutinous rice flour (malagkit)","rice flour"
"Pure cup almond milk, divided","almond milk"
"TOASTED SESAME OIL, TOASTED","oil"
"KOSHER SALT","salt"
"SWEET BBQ TOFU BAKED, BBQ","tofu"
"THE ORIGINAL TOFU SHIRATAKI NOODLES","tofu"
"VANILLA ALMOND MILK CREAMER, VANILLA","almond milk"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"Pure cans (each 13 1/2 fl. oz.) unsweetened coconut milk","coconut milk"
"Pure cup canned coconut milk, well stirred","coconut milk"
"Pure (1 pound) package soft tofu, drained and cut into bite-size pieces","tofu"
"Pure oz soft or firm tofu (not silken or extra-firm), drained and cut into 1/2-inch cubes","tofu"
"Pure (8 ounce) package silken tofu, diced","tofu"
"Pure ounces firm tofu, drained, rinsed, and cut into 1/2-inch matchsticks","tofu"
"Pure tablespoons so delicious® dairy free culinary coconut milk","coconut milk"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"SWEETENED APPLESAUCE, SWEETENED","applesauce"
"Pure cup finely diced tofu","tofu"
"RAW HULLED SUNFLOWER SEEDS","sunflower seeds"
"Pure tablespoons vegan cream cheese substitute (such as tofutti ®) (optional)","tofu"
"Pure cooking spray (such as i can't believe it's not butter®)","cooking spray"
"Pure ounces baked bean curd/tofu, cut into long thin strips","tofu"
"Pure (14 ounce) can light coconut milk","coconut milk"
"KOSHER SALT","salt"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"ORGANIC POWDERED SUGAR","sugar"
"ALMOND MILK & COCONUT NON-DAIRY WHIPPED TOPPING, ALMOND MILK","almond milk"
"MARINARA SAUCE","pizza sauce"
"Pure 1/2 cups almond flour or almond meal","almond flour"
"Pure cup almond milk, or as needed","almond milk"
"Pure cup unsweetened, plain almond milk","almond milk"
"Pure cup unsweetened dairy-free milk, such as coconut milk beverage, almond milk, or soy milk","almond milk"
"Pure (8 ounce) package tempeh, broken into bite-sized pieces","tempeh"
"Pure (8 ounce) package tempeh, cut into 4 pieces","tempeh"
"BROWN RICE FLOUR","rice flour"
"WHITE RICE FLOUR","rice flour"
"Pure tablespoons canned unsweetened coconut milk*","coconut milk"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"ORIGINAL TEMPEH","tempeh"
"WHITE ALMOND FLOUR","almond flour"
"Pure pound extra-firm tofu, cubed","tofu"
"Pure (14 ounce) package extra-firm tofu","tofu"
"Pure 14-ounce can unsweetened coconut milk,* whisked to blend","coconut milk"
"Pure (11 ounce) bottles so delicious® culinary coconut milk","coconut milk"
"MEDIUM EXTRA VIRGIN OLIVE OIL, MEDIUM","olive oil"
"MEDIUM EXTRA VIRGIN OLIVE OIL, MEDIUM","olive oil"
"EXTRA FIRM ORGANIC TOFU, EXTRA FIRM","tofu"
"MEDIUM EXTRA VIRGIN OLIVE OIL, MEDIUM","olive oil"
"Pure 13 1/2-ounce can light unsweetened coconut milk (about 1 2/3 cups)","coconut milk"
"Pure info: unsweetened shredded coconut is available at specialty foods stores and natural foods stores. canned light unsweetened coconut milk is sold at many supermarkets and at indian, southeast asian, and latin markets.","coconut milk"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"Pure tablespoon unsweetened vanilla-flavored almond milk","almond milk"
"BIG SUR BREAKFAST SEASONED TOFU SCRAMBLE, SAVORY POTATO & SEITAN BURRITO, BIG SUR BREAKFAST","tofu"
"Pure (14 ounce) cans chilled coconut milk","coconut milk"
"Pure (16 ounce) package extra-firm tofu, cut into 1/2-inch cubes","tofu"
"Pure cups soft or silken tofu","tofu"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"Pure (8 ounce) packages firm silken tofu, drained and diced","tofu"
"Pure ounces low-fat, firm silken tofu","tofu"
"SHELLED SUNFLOWER SEEDS","sunflower seeds"
"UNSWEETENED COCONUT MILK, UNSWEETENED","coconut milk"
"UNSWEETENED COCONUT MILK, UNSWEETENED","coconut milk"
"Pure 14-ounce packages firm tofu, drained, sliced 1/2"" thick","tofu"
"SUPER-FINE ALMOND FLOUR","almond flour"
"MANGO COCONUT MILK DRINK, MANGO","coconut milk"
"STRAWBERRY COCONUT MILK DRINK, STRAWBERRY","coconut milk"
"Pure cup vanilla soy or almond milk","almond milk"
"ALMOND MILK & COCONUT NON-DAIRY WHIPPED TOPPING, ALMOND MILK","almond milk"
"IBERIA COCONUT MILK, 13.5 FL OZ","coconut milk"
"MARINARA SAUCE","pizza sauce"
"COCONUT MILK POWDER INSTANT, COCONUT","coconut milk"
"KA-ME COCONUT MILK, 13.5 FL OZ","coconut milk"
"Pure tablespoon yeast","yeast"
"VEGETABLE OIL","oil"
"IODIZED SALT","salt"
"COCONUT MILK NON-DAIRY WHIPPED TOPPING, COCONUT MILK","coconut milk"
"Blue Diamond Almond Flour","almond flour"
"Native Forest Organic Coconut Milk","coconut milk"
"Arrowhead Mills Brown Rice Flour","rice flour"
"Pure cup coconut-milk beverage or almond milk","almond milk"
"UNSALTED BUTTER","butter"
"SALTED BUTTER","butter"
"UNSWEETENED LITE COCONUT MILK, UNSWEETENED","coconut milk"
"SESAME GINGER MARINATED BAKED TOFU, SESAME GINGER","tofu"
"TERIYAKI MARINATED BAKED TOFU, TERIYAKI","tofu"
"SALTED BUTTER","butter"
"FRESH ROASTED SUNFLOWER SEEDS","sunflower seeds"
"KROGER, LITE COCONUT MILK","coconut milk"
"LITE COCONUT MILK","coconut milk"
"SUNFLOWER SEEDS","sunflower seeds"
"Pure yeast (optional)","yeast"
"SEA SALT","salt"
"SILKEN ORGANIC TOFU, SILKEN","tofu"
"Pure pound extra-firm tofu","tofu"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"ORGANIC, UNSWEETENED COCONUT MILK, UNSWEETENED","coconut milk"
"ORGANIC, UNREFINED COCONUT FLOUR","coconut flour"
"ORGANIC, UNSWEETENED LIGHT COCONUT MILK, UNSWEETENED","coconut milk"
"Pure 1/2 teaspoons yeast","yeast"
"IODIZED SALT","salt"
"Pure silken tofu","tofu"
"Pure 19-ounce container silken tofu","tofu"
"Pure cup well-stirred unsweetened canned coconut milk","coconut milk"
"ORIGINAL ALMOND MILK, ORIGINAL","almond milk"
"flour","flour"
"butter","butter"
"milk","milk"
"olive oil","olive oil"
"canola oil","oil"
"vegetable oil","oil"
"UNSWEETENED VANILLA FLAVORED ALMOND MILK, UNSWEETENED VANILLA","almond milk"
"whole milk","milk"
"tomato sauce","pizza sauce"
"confectioners sugar","sugar"
"banana","banana"
"Pure pound glutinous rice flour","rice flour"
"Pure (16 ounce) package silken tofu, drained","tofu"
"SEA SALT","salt"
"Pure (12 ounce) package low-fat, firm silken tofu","tofu"
"Pure cup cultured coconut milk","coconut milk"
"Pure (12 ounce) package extra-firm tofu","tofu"
"Pure 1/4 cups almond flour or almond meal*","almond flour"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"PREMIUM ALMOND FLOUR","almond flour"
"Pure cup unsweetened vanilla-flavored almond milk","almond milk"
"Pure 1/4 cups king arthur almond flour","almond flour"
"Pure tablespoons king arthur coconut flour","coconut flour"
"Pure cup unsweetened almond milk or coconut water","almond milk"
"Pure cups almond flour or almond meal*","almond flour"
"Pure 1/3 cups king arthur almond flour","almond flour"
"LENTILS","lentils"
"Pure (14 ounce) package firm tofu, cut into 3/4 inch cubes","tofu"
"MARINARA SAUCE","pizza sauce"
"Pure cup coconut-almond milk blend","almond milk"
"Pure cup thinly sliced firm tofu","tofu"
"SEA SALT","salt"
"ORGANIC COCONUT FLOUR","coconut flour"
"Pure cups rice flour**","rice flour"
"Pure (16 ounce) package silken tofu","tofu"
"MARINARA SAUCE","pizza sauce"
"Pure cup unsweetened light coconut milk","coconut milk"
"Pure (8 ounce) package tempeh, cut into bite-size pieces","tempeh"
"Pure cup rice flour, divided","rice flour"
"Pure 1/2 cups unsweetened vanilla-flavored almond milk","almond milk"
"Pure (15 ounce) cans coconut milk","coconut milk"
"CAJUN TOFU BURGER, CAJUN","tofu"
"AVOCADO OIL","oil"
"AVOCADO OIL","oil"
"AVOCADO OIL","oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"CANOLA OIL","oil"
"Pure cup thick coconut milk (from 1 coconut without any cracks and containing liquid","coconut milk"
"Pure (14 ounce) can unsweetened light coconut milk","coconut milk"
"AVOCADO OIL","oil"
"TOMATO SAUCE","pizza sauce"
"POWDERED CONFECTIONERS SUGAR","sugar"
"LENTILS","lentils"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"OLIVE OIL","olive oil"
"Pure (16 ounce) package soft tofu, cut into 1/3-inch cubes","tofu"
"VEGETABLE OIL","oil"
"VEGETABLE OIL","oil"
"VEGETABLE OIL","oil"
"UNSWEETENED ORGANIC LIGHT COCONUT MILK, UNSWEETENED","coconut milk"
"UNSWEETENED ORGANIC COCONUT MILK, UNSWEETENED","coconut milk"
"Pure (12 ounce) package extra firm tofu, drained and cubed","tofu"
"Pure 12-ounce package extra-firm tofu, drained, patted dry, cut into 1/2-inch cubes","tofu"
"Pure (2 ounce) package coconut milk powder","coconut milk"
"Pure 1/2 pounds soft (not silken) tofu, cut into 1-inch cubes","tofu"
"Pure (14 ounce) can light coconut milk, divided","coconut milk"
"Pure 1 1/2 cups milk or almond milk (see variations below), or 3/4 cup orange juice, or 3/4 cup water and 1 to 4 tablespoons orange blossom water","almond milk"
"SHIN GREEN MUSHROOM & FRIED TOFU RAMYUN NOODLES WITH SEASONING MIX, SHIN GREEN MUSHROOM & FRIED TOFU","tofu"
"Pure 1/2 (14 ounce) cans coconut milk","coconut milk"
"CANOLA OIL","oil"
"Pure (14 ounce) packages tofu, cut into chunks","tofu"
"Pure 1/8 teaspoon yeast (1/2 packet)","yeast"
"WHOLE MILK","milk"
"ORGANIC ORIGINAL UNSWEETENED ALMOND MILK","almond milk"
"CHIAO KUO, COCONUT MILK DRINK","coconut milk"
"Pure cup canned unsweetened coconut milk","coconut milk"
"MILD OLIVE OIL, MILD","olive oil"
"Pure 2-inch square baked teriyaki-seasoned tofu, cut into 1x1/2x1/4-inch pieces","tofu"
"Pure (11 ounce) bottle so delicious® dairy free culinary coconut milk","coconut milk"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"Pure (16 ounce) package firm tofu, cut into strips","tofu"
"Pure pound soft tofu, drained and cut into 1/2-inch cubes","tofu"
"Pure ounces firm tofu, cut into 1/4 inch cubes","tofu"
"Pure cup 1/4-inch dice of silken tofu (3 oz)","tofu"
"Pure pound firm tofu, cut into cubes","tofu"
"Pure (12 ounce) package extra-firm tofu, chopped","tofu"
"Bob's Red Mill Blanched Almond Flour","almond flour"
"BARIDI COFFEE COLD BREW, ALMOND MILK","almond milk"
"Pure (8 ounce) package three-grain tempeh, cut into bite-size pieces","tempeh"
"GRANULATED SUGAR","sugar"
"SESAME OIL","oil"
"PREMIUM COCONUT MILK","coconut milk"
"Pure cup well-stirred canned cream of coconut (not coconut milk) such as coco lópez","coconut milk"
"Pure teaspoons yeast","yeast"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"Pure (16 ounce) package extra firm tofu, drained, pressed and cubed","tofu"
"Pure (8 ounce) package seasoned tempeh","tempeh"
"Pure cup almond-coconut milk","coconut milk"
"Pure (12 ounce) package extra-firm tofu, cut into small cubes","tofu"
"Pure cup 1/2-inch pieces firm tofu (about 6 ounces)","tofu"
"Pure ounces fried tofu, sliced into thin strips","tofu"
"CANOLA OIL","oil"
"Pure pound extra-firm tofu, cut into 1/2-inch-thick slices","tofu"
"Pure (14-ounce) block extra-firm tofu, rinsed","tofu"
"Pure block of extra-firm tofu","tofu"
"Pure 1-pound block of extra-firm or firm tofu, rinsed","tofu"
"Pure (14-ounces) packages soft tofu (not silken)","tofu"
"MANGO COCONUT MILK DRINK WITH NATA DE COCO, MANGO","coconut milk"
"Pure cup plus 2 tablespoons almond flour","almond flour"
"Pure 1/2-pound piece firm tofu, rinsed, patted dry, hard edges trimmed, and cut into 1/2-inch cubes","tofu"
"Pure cup milk or cream (use coconut milk if you have some leftover)","coconut milk"
"LENTILS","lentils"
"BERRY BERRY APPLE, STRAWBERRY, BLUEBERRY, PUMPKIN SEED, DATE, COCONUT MILK, SWEET POTATO ORGANIC DAIRY-FREE SMOOTHIE, BERRY BERRY","coconut milk"
"Pure cup light coconut milk (recommended: thai kitchen)","coconut milk"
"Pure envelope yeast","yeast"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"SWEETENED APPLESAUCE, SWEETENED","applesauce"
"Pure 1/4 cups light coconut milk","coconut milk"
"KOSHER SALT","salt"
"VEGAN TOFU EGGPLANT GREEN CURRY WITH SPROUTED BROWN RICE, EGGPLANT, MUSHROOM AND TOFU, VEGAN TOFU EGGPLANT GREEN CURRY","tofu"
"Pure carton firm or soft tofu","tofu"
"VANILLA ALMOND MILK, VANILLA","almond milk"
"BLACK SESAME OIL","oil"
"ROASTED SUNFLOWER SEEDS, ROASTED","sunflower seeds"
"BROWN LENTILS, BROWN","lentils"
"CARIBBEAN DREAMS COCONUT MILK POWDER, 1.76 OZ","coconut milk"
"Pure (18 ounce) package extra-firm tofu, slice 1/2-inch thick","tofu"
"Pure package yeast","yeast"
"WAKANDAN COCONUT RICE SEASONING SAUCE WITH REAL COCONUT MILK, WAKANDAN COCONUT RICE","coconut milk"
"FINE SEA SALT","salt"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"Pure tablespoons well-stirred canned cream of coconut such as coco lópez (not coconut milk)","coconut milk"
"Pure 1/2 cups vanilla-flavored almond milk","almond milk"
"ORGANIC  COCONUT FLOUR","coconut flour"
"WHOLE WHEAT FLOUR","flour"
"LENTILS","lentils"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"VEGETABLE OIL","oil"
"Pure cheese (paneer) made with 8 cups milk (see tips, below) or 8 ounces farmer's cheese or 2 cakes tofu, sliced as paneer","tofu"
"SALTED CARAMEL ALMOND FLOUR BLONDIE SOFT BAKED SQUARES, SALTED CARAMEL ALMOND FLOUR BLONDIE","almond flour"
"LITE COCONUT MILK, LITE","coconut milk"
"COCONUT MILK","coconut milk"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"CHICKPEAS","chickpeas"
"OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"CONFECTIONERS POWDERED SUGAR","sugar"
"Pure (8 ounce) package tempeh, cut into 1-inch pieces","tempeh"
"POWDERED SUGAR","sugar"
"SWEETENED APPLESAUCE, SWEETENED","applesauce"
"Bob's Red Mill Organic Coconut Flour","coconut flour"
"King Arthur Coconut Flour","coconut flour"
"Nutiva Organic Coconut Flour","coconut flour"
"ORGANIC TOFU","tofu"
"GLUTEN-FREE RICE FLOUR","rice flour"
"Pure 1/4 cups unsweetened vanilla-flavored almond milk, divided","almond milk"
"TOMATO SAUCE","pizza sauce"
"SALT","salt"
"Pure (14-ounce) can full-fat coconut milk","coconut milk"
"Pure cup almond milk, or regular low-fat milk","almond milk"
"Pure 1/4 cups well-stirred canned unsweetened coconut milk (10 fl oz; not low-fat)","coconut milk"
"POWDERED ORGANIC SUGAR, POWDERED","sugar"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"Pure (12 ounce) package tofu, cut into 6 slices","tofu"
"EXTRA VIRGIN  OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"Pure cup rice flour (not from sweet rice)*","rice flour"
"ORIGINAL ALMOND FLOUR TORTILLA WRAPS, ALMOND","almond flour"
"Pure ounces extra-firm tofu, cut into 1/4-inch cubes","tofu"
"Pure ounces tofu shirataki noodles","tofu"
"Pure ounces extra-firm tofu","tofu"
"Pure recipe saffron-coconut milk sauce, recipe follows","coconut milk"
"Pure pound silken or soft tofu","tofu"
"Pure (12 ounce) package silken tofu, cut into 1/2-inch cubes","tofu"
"GRANULATED SUGAR","sugar"
"POWDERED SUGAR","sugar"
"COARSE KOSHER SALT","salt"
"Pure (16 ounce) cans coconut milk","coconut milk"
"EXTRA VIRGIN OLIVE OIL","olive oil"
